%hello all
@RELATION disease
@ATTRIBUTE R amplitudeNUMERIC
@ATTRIBUTE Q amplitude NUMERIC
@ATTRIBUTE P detection ratioNUMERIC 
@ATTRIBUTE S or QS detection ratio NUMERIC 
@ATTRIBUTE T detection ratio NUMERIC
@ATTRIBUTE disease {}
@DATA 
0.953,0,0.145373,0.229368,0.922852,not
0.951077,0.0613598,0.214759,0.261284,0.739464,not
0.962333,0.0326215,0.21204,0.221638,1,not
0.964583,0.0160764,0.192917,0.221194,0.943113,not
0.95725,0.0162246,0.194695,0.220395,0.795636,not
0.963083,0.0321028,0.385233,0.192139,0.944828,not
0.963917,0,0.221227,0.197896,0.926628,not
0.956833,0,0.271103,0.210667,1,not
0.964417,0,0.205531,0.209481,1,not
0.958667,0.0319556,0.175756,0.219417,1,not
0.947583,0,0.256972,0.225819,1,not
0.968167,0.0161361,0.597036,0.208639,1,not
0.944167,0,0.472083,0.199528,1,not
0.949417,0,0.428769,0.188011,1,not
0.9455,0,0.173342,0.187361,1,not
0.960417,0,0.195339,0.209548,1,not
0.945583,0,0.215659,0.210643,1,not
0.958417,0.0324887,0.341131,0.216328,1,not
0.965833,0.0327401,0.425621,0.223362,1,not
0.94925,0.032178,0.273513,0.220621,1,not
0.962833,0.0326384,0.391661,0.190424,1,not
0.946667,0.0163218,0.35908,0.189253,1,not
0.961583,0.016298,0.456345,0.176695,1,not
0.953667,0.0158944,0.349678,0.185806,1,not
0.963917,0.0632077,0.347642,0.208825,0.852459,not
0.954583,0.0156489,0.297329,0.202104,1,not
0.961583,0,0.26366,0.196237,1,not
0.960083,0,0.34626,0.176639,1,not
0.95825,0.031418,0.361307,0.204833,1,not
0.96425,0.0474221,0.474221,0.195082,0.965329,not
0.963417,0,0.268493,0.205437,1,not
0.958083,0.015453,0.324512,0.201075,0.949759,not
0.966667,0.0623656,0.374194,0.195914,0.727846,not
0.961,0,0.34659,0.203962,1,not
0.96075,0,0.371903,0.200699,1,not
0.955167,0.0313169,0.281852,0.187732,0.981911,not
0.9635,0,0.372968,0.183387,1,not
0.960833,0,0.393784,0.176667,1,not
0.966083,0,0.42937,0.173925,1,not
0.949917,0.0153212,0.275782,0.182842,0.971264,not
0.9655,0.0150859,0.331891,0.187109,1,not
0.962,0,0.636161,0.188763,1,not
0.966333,0,0.55219,0.184788,1,not
0.962167,0.0150339,0.511151,0.179557,1,not
0.962167,0,0.36654,0.175161,1,not
0.957917,0.0299349,0.284382,0.182188,0.920079,not
0.957417,0.0149596,0.478708,0.172135,1,not
0.9585,0,0.426,0.173545,1,not
0.967167,0.1658,0.400683,0.182762,0,not
0.955583,0,0.213937,0.177065,0.696796,not
0.960417,0,0.261932,0.181061,1,not
0.959833,0.0846912,0.508147,0.180323,0.40906,not
0.96775,0.0426949,0.512338,0.173039,0.882184,not
0.955667,0.0144798,0.246157,0.182374,0.528561,not
0.961917,0.0975857,0.362461,0.182413,0.00516408,not
0.971417,0.0142855,0.271425,0.16576,0.913021,not
0.966917,0.0142194,0.270168,0.198015,0.478026,not
0.968917,0.146001,0.51764,0.175913,0.15777,not
0.959,0.113566,0.290224,0.179583,0,not
0.97425,0.0916941,0.252159,0.195655,0,not
0.95825,0,0.0982821,0.215085,0.425877,not
0.962583,0.0131861,0.0395582,0.201073,0.366242,not
0.967833,0.0142328,0.0853971,0.214069,0.647904,not
0.971667,0.0944676,0.364375,0.182431,0.122126,not
0.972833,0.014099,0.14099,0.18872,0.838248,not
0.97325,0,0.191701,0.199091,0.997562,not
0.958333,0.0147436,0.20641,0.194219,0.701868,not
0.962333,0.0150365,0.240583,0.210521,1,not
0.959417,0.0152288,0.243661,0.202213,0.943988,not
0.961417,0.0443731,0.310612,0.203974,0.767993,not
0.956417,0.0147141,0.205997,0.190923,0.903979,not
0.963083,0.0150482,0.16553,0.207474,1,not
0.9615,0,0.225352,0.210547,1,not
0.959083,0.0149857,0.224785,0.201484,0.768678,not
0.952583,0,0.223262,0.203698,0.979885,not
0.965,0.0584848,0.219318,0.208258,0.337047,not
0.953833,0.0293487,0.176092,0.202897,0.712823,not
0.965083,0.0296949,0.118779,0.216821,0.692661,not
0.965583,0.0150872,0.135785,0.211302,0.640445,not
0.966083,0.0148628,0.193217,0.190897,0.793988,not
0.959167,0.0147564,0.221346,0.198692,0.790805,not
0.964167,0.0438258,0.189912,0.209949,0.720481,not
0.95375,0,0.283145,0.185964,1,not
0.96175,0.0300547,0.22541,0.211302,0.755927,not
0.959833,0.0299948,0.329943,0.203598,1,not
0.961083,0,0.225254,0.188021,1,not
0.9655,0.0306508,0.306508,0.203968,1,not
0.959333,0.0456825,0.258868,0.19455,0.696953,not
0.9525,0.0153629,0.261169,0.189382,1,not
0.9485,0,0.18659,0.19776,1,not
0.95,0,0.291129,0.194235,1,not
0.963917,0.0148295,0.370737,0.189,0.84916,not
0.951417,0.0153454,0.214836,0.224328,0.929366,not
0.958,0,0.266984,0.19918,1,not
0.9615,0.0310161,0.155081,0.199543,0.897479,not
0.953167,0,0.353594,0.188065,1,not
0.96075,0.0591231,0.546888,0.173231,0.939876,not
0.957917,0.0154503,0.324456,0.195968,1,not
0.955083,0,0.266171,0.19429,1,not
0.958,0,0.172754,0.193525,1,not
0.95475,0,0.28173,0.199727,1,not
0.957,0,0.231532,0.192312,0.997219,not
0.95975,0,0.309597,0.19707,1,not
0.955833,0,0.227579,0.194153,0.939974,not
0.968917,0.0153796,0.322972,0.196243,1,not
0.970333,0.0285392,0.470897,0.159502,0.950473,not
0.964583,0.227749,0.468895,0.171319,0,not
0.96325,0,0.189731,0.173485,1,not
0.963,0,0.275143,0.161747,1,not
0.9475,0,0.320927,0.159005,1,not
0.95925,0,0.417738,0.158548,1,not
0.957833,0.0154489,0.324427,0.159672,0.99073,not
